0.023	0.011	0.014	0.025	0.023	0.019	0.022	0.025	0.027	0.028	0.025	0.022	0.024	0.027	0.025	0.022	0.02	0.022	0.022	0.023	0.027	0.021	0.037	0.036	0.032	0.034	1.311	0.02	0.021	0.016	0.034	0.026	0.024	0.027	0.024	0.022	0.023	0.019	0.028	0.021	0.011	0.007	0.01	0.02	0.018	0.079	0.017	0.03	0.02	0.022	0.003	0.023	0.024	0.036	0.013	0.027	0.038	0.026	0.038	0.016	0.016	0.012	0.000
0.005	0.002	0.014	0.011	0.006	0.007	0.009	0.008	0.009	0.009	0.01	0.006	0.01	0.015	0.01	0.012	0.011	0.014	0.018	0.038	0.021	0.009	0.021	0.009	0.011	0.018	0.012	1.042	0.007	0.004	0.009	0.008	0.009	0.008	0.006	0.004	0.008	0.006	0.006	0.005	0.001	0.001	0.002	0.001	0.004	0.008	0.009	0.008	0.006	0.02	0.001	0.005	0.007	0.003	0.001	0.003	0.004	0.004	0.004	0.011	0.005	0.003	0.000
0.064	0.021	0.096	0.056	0.145	0.1	0.096	0.094	0.085	0.096	0.128	0.093	0.107	0.097	0.118	0.091	0.083	0.104	0.102	0.099	0.091	0.111	0.076	0.049	0.036	0.059	0.06	0.078	1.087	0.038	0.044	0.087	0.112	0.039	0.032	0.074	0.071	0.031	0.082	0.039	0.02	0.028	0.089	0.012	0.027	0.042	0.053	0.07	0.034	0.062	0.007	0.105	0.044	0.014	0.01	0.041	0.026	0.029	0.035	0.03	0.04	0.021	0.000
0.011	0.004	0.022	0.012	0.029	0.016	0.014	0.011	0.009	0.011	0.017	0.021	0.012	0.009	0.011	0.012	0.011	0.014	0.017	0.016	0.013	0.016	0.011	0.007	0.005	0.006	0.007	0.008	0.006	1.004	0.006	0.016	0.009	0.005	0.004	0.012	0.008	0.004	0.005	0.005	0.001	0.001	0.002	0.001	0.003	0.005	0.008	0.01	0.005	0.007	0.001	0.007	0.006	0.002	0.002	0.018	0.005	0.005	0.006	0.004	0.006	0.003	0.000
0.049	0.059	0.059	0.093	0.096	0.063	0.083	0.099	0.065	0.106	0.1	0.058	0.083	0.089	0.09	0.062	0.052	0.072	0.063	0.067	0.054	0.07	0.054	0.1	0.037	0.059	0.041	0.054	0.081	0.051	1.159	0.132	0.104	0.176	0.277	0.038	0.049	0.026	0.028	0.026	0.011	0.011	0.028	0.006	0.023	0.033	0.038	0.048	0.026	0.062	0.004	0.174	0.034	0.017	0.019	0.024	0.023	0.023	0.025	0.029	0.033	0.02	0.000
0.002	0.004	0.005	0.003	0.004	0.003	0.004	0.004	0.002	0.004	0.004	0.002	0.003	0.003	0.004	0.002	0.002	0.003	0.002	0.003	0.002	0.003	0.002	0.003	0.001	0.002	0.002	0.002	0.003	0.002	0.005	1.01	0.008	0.012	0.008	0.002	0.002	0.001	0.002	0.001	0.000	0.000	0.001	0.000	0.001	0.001	0.002	0.002	0.001	0.004	0.000	0.067	0.001	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000
0.001	0.001	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.002	0.007	1.005	0.004	0.003	0.001	0.001	0.002	0.002	0.001	0.002	0.002	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.000	0.095	0.001	0.001	0.000	0.000	0.001	0.001	0.001	0.011	0.001	0.000	0.000
0.035	0.017	0.047	0.096	0.085	0.065	0.069	0.1	0.066	0.109	0.098	0.056	0.081	0.096	0.091	0.063	0.053	0.073	0.066	0.068	0.055	0.069	0.055	0.093	0.037	0.063	0.041	0.058	0.097	0.067	0.187	0.158	0.146	1.215	0.299	0.035	0.055	0.025	0.028	0.028	0.011	0.011	0.031	0.006	0.024	0.033	0.037	0.049	0.026	0.077	0.003	0.097	0.034	0.014	0.01	0.021	0.02	0.022	0.024	0.032	0.036	0.02	0.000
0.002	0.002	0.002	0.006	0.003	0.004	0.003	0.004	0.003	0.006	0.004	0.002	0.004	0.004	0.004	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.003	0.006	0.016	0.01	0.003	0.003	0.003	0.002	0.006	0.007	0.006	0.013	1.03	0.002	0.004	0.006	0.008	0.003	0.003	0.002	0.003	0.001	0.002	0.002	0.002	0.004	0.002	0.003	0.001	0.006	0.004	0.006	0.002	0.001	0.003	0.003	0.003	0.005	0.004	0.005	0.000
0.019	0.008	0.023	0.054	0.027	0.034	0.054	0.038	0.028	0.06	0.031	0.022	0.029	0.036	0.034	0.024	0.025	0.03	0.024	0.025	0.028	0.03	0.047	0.072	0.049	0.027	0.03	0.036	0.029	0.019	0.044	0.066	0.062	0.06	0.046	1.024	0.051	0.03	0.056	0.017	0.007	0.008	0.023	0.006	0.014	0.018	0.016	0.03	0.021	0.023	0.006	0.231	0.038	0.016	0.02	0.016	0.018	0.021	0.016	0.015	0.058	0.04	0.000
